authors,publicationDate,journal,volume,issue,pages,description
"Evelyn Ngozi Verla, Andrew Wirnkor Verla, Christian Ebere Enyoh",2017,World News of Natural Sciences,12,1-20,Przedsiębiorstwo Wydawnictw Naukowych Darwin/Scientific Publishing House DARWIN,"Environmental pollution has resulted in several health and physiological problems in both plants and animals. This has witnessed growing number of models for assessment purposes. Some of these provide useful information, and reduce large data for easier understanding by policy-makers. In the current study of pollution, we used data from four locations: Oil Market, Trans Amadi, Borrokiri and GRA in Port Harcourt and a control taken from Federal Land Resource Umuahia (FLRU). A total of 25 composite soil samples were analyzed for physicochemical parameters and heavy metals, by means of a 969 Unicam AAS model series. The data obtained were then subjected to index models. Results showed iron (Fe) to be most abundant metal, ranging from 10.44 to 19.54 mg/kg, then Ni (8.03 to 13.6mg/kg), Cd (3.96 to 5.41 mg/kg), Pb (1.36 to 7.64 mg/kg), Zn (0.09 to 7.24 mg/kg), Cu (0.16 to 0.32) and As (0.07 to 0.11 mg/kg). All metal concentrations were below permissible limits set by NESRA. Contamination factor (Cf) and Igeo revealed moderate to heavy contamination by Cd and Zn. Anthropogenicity revealed that increasing metals in the environment are largely from anthropogenic inputs. The Pollution Index revealed that soils were unpolluted (PLI < 1) with the heavy metals. Furthermore, the Sodium absorption ratio showed that the soils are less sodic and could be good soils for plant growth. All four sites showed a linear relationship between anthropogenicity and geoaccumulation indexes, and so both indexes furnish basically the same information However, pollution from these metals in the study area should be under routine check for …"
"V Wirnkor, V Ngozi, A Emeka",2018,International Journal of Environment and Pollution Research,6,38-49,"Pollution scenario of water from River Uramurukwa was investigated. In both rainy and dry season, 5 water samples each taken from different points were analysed to determine physico-chemical parameters and heavy metals (using Atomic Absorption Spectrophotometer). The investigated physico-chemical parameters for both dry and rainy season respectively ranges from: temperature (32-32.4oC, 29-29.8oC), electrical conductivity (15.67-2.00 µS/cm, 7.31-61 µS/cm), pH (5.2-5.7, 5.9-6.7), total dissolved solids (2.67-3.98 mg/L, 3.29-5.33 mg/L) and TSS (4.43-6.64 mg/L, 4.88-5.84 mg/L). The analysed major ions were: sodium (Na+)(1.30-1.67 mg/L, 1.76-2.38 mg/L), potassium (K+)(0.819-0.898 mg/L, 0.08-1.89 mg/L), magnesium (Mg2+)(1.13-2.78 mg/L, 1.23-2.86 mg/L), calcium (Ca2+)(22.92-24.6 mg/L, 13.9-43.9 mg/L), nitrate (NO3-)(0.91-0.96 mg/L, 0.56-0.97 mg/L), phosphate (PO4 3-)(0.34-1.65 mg/L, 1.07-2.17 mg/L) and sulphate (SO4 2-)(23.4-24.8 mg/L, 21.02-29.18 mg/L). The investigated heavy metals were: lead (Pb), zinc (Zn)(1.2-2.63 mg/L, 1.60-3.33 mg/L), copper (Cu)(0.13-0.79 mg/L, 0.001-0.61 mg/L), iron (Fe)(0.091-0.19 mg/L, 0.017-1.97 mg/L), cadmium (Cd)(0.002-0.180 mg/L, 0.002-0.025 mg/L), manganese (Mn)(0.08-1.02 mg/L, 0.008-0.091 mg/L). Temperature, Ec, DO, TDS and TSS were found to compile with WHO guidelines for domestic drinking water except for pH. Cu, Mn, Fe, in the water samples were all within the recommended guidelines of FEPA and WHO for domestic water use. High concentrations of Cd, Mn and Fe were observed at point 2 while all points for Zn and Pb exhibited high concentration. Water quality Index …","Zitiert von: 38
2018
2019
2020
2021
2022
2023"
"Andrew Verla Wirnkor, Verla Evelyn Ngozi, Ajero Chigbo Medo, Lele Kelechi Chioma, Ugochukwu Stella-Maris Ngozi, Enyoh Ebere Christian",2019/3/1,Journal of Chemical Health Risks,9,1,11-26,"Islamic Azad University, Damghan Branch, Islamic Republic of Iran"
"Evelyn Ngozi Verla, Andrew Wirnkor Verla, Christian Ebere Enyoh",2020/6,Chemistry Africa,3,427-438,Springer International Publishing,"Nine public school playgrounds across Owerri metropolis were investigated for metal fractions for three years (2012, 2013 and 2014) in order to assess bioavailability, average daily dose (ADD) and risk assessment code (RAC) of five heavy metals. A six steps sequential extraction procedure was used to quantify metal fractions with A ANALYST 400 Perkin Elmer AAS. Data of metal concentration was subjected to models and results revealed interesting information that could aid in decision making concerning children playground safety. Significant (p > 0.05) amounts of Zn, Co and Cu were found in the bioavailable fractions in all playgrounds for both seasons. Mean Percent bioavailability in 2012 ranged from Co (9.4) to Zn (28.11) though maximum bioavailability was observed for Mn (55) and minimum for Cu (3). In 2013 bioavailability ranged from Zn (36) to Ni (40.2) while maximum bioavailability was observed …"
"Evelyn Ngozi Verla, Andrew Wirnkor Verla, Adaku Felicia Osisi, Peter Ndu Okeke, Christian Ebere Enyoh",2019/12,Environmental monitoring and assessment,191,1-11,Springer International Publishing,"In the 3-year study, heavy metals mobility factors for soils of public playgrounds within Owerri metropolis were correlated with soil particle size. Such studies could develop a body of knowledge that could enable detection and quantification of potential risk of metals to children from playground soil without actually involving children. Calculated values of mobility factors were subjected statistical treatment and to obtain descriptive statistics. Regression analysis of mobility factors and particle size were determined. Copper and zinc were most mobile elements, while cobalt was least mobile. Result showed that clay particle size had strong influence on mobility factors. The significance of this study is that recent estimation of mobility factors of metals are used to expand its possible understanding and application to fundamental and practical problems of ecotoxicology of metals which could reflect metals potentials to cause …"
"Christian Ebere Enyoh, Andrew Wirnkor Verla, Md Refat Jahan Rakib",2021,World News of Natural Sciences,38,37-48,Przedsiębiorstwo Wydawnictw Naukowych Darwin/Scientific Publishing House DARWIN,"Due to the differences in reporting units and methodology on microplastics (MP) studies, there has been some difficulty in comparing results across studies. In this study, we presented index models that can be address this issue. Index models for pollution and health risks assessment was applied to MP data obtained from rivers in Nwangele L.G.A. Models such as microplastics contamination factor (MPCF), microplastics pollution load index (MPPLI), Microplastics polymer risk indices (Hi) and pollution risk index (MPR) for pollution and contamination assessment. Health risk models such estimated daily intake (EDI) and microplastic carcinogenic risks (MPCR) through oral and dermal pathway were also presented and applied. Results showed that there is no direct correlation of MP abundance with MPR. However, Hi correlated but with MPR. Increased MPs pollution risks and levels were extensively subject to the presence of harmful MPs polymers, just as the high MPs pollution loads index (MPPLI). The index models enabled easy comparison of MP pollution of the different rivers and provided concise information on the status of MPs in the rivers."
"Christian Ebere Enyoh, Andrew Wirnkor Verla, Wang Qingyue, Franklyn Okechukwu Ohiagu, Akhter Hossain Chowdhury, Emmanuel Chinedu Enyoh, Tanzin Chowdhury, Evelyn Ngozi Verla, Ugwuezumba Patrick Chinwendu",2020/12/1,Trends in Environmental Analytical Chemistry,28,e00107,Elsevier,"Air pollutants are perhaps the largest cause of diseases and death in the world today. Increasing urbanization and industrialization have caused an increase in number of diverse forms and types of new pollutants, which are difficult to detect and characterize due to their stench behaviour and complex sources of production. Such pollutants have been called emerging pollutants (EPs) and their list is ever increasing. Therefore, the understanding of the method of analysis and health implication of (EPs) in air is critical to providing a more robust understanding of exposure routes, regulations and mitigation. EPs in air discussed in this study are not in any way exhaustive but limited to emerging VOCs (including acrylonitrile, 1−3-butadiene, chloroform, dichloromethane, ethylene oxides, formaldehyde, toluene, trichloroethylene, 1,4-Dioxane) and metals (arsenic, manganese, and vanadium), ultrafine particles, micro- and …"
"Evelyn Ngozi Verla, Andrew Wirnkor Verla, Christian Ebere Enyoh",2020/2/4,PeerJ Analytical Chemistry,2,e5,PeerJ Inc.,"Water has been described as a universal solvent, and this is perhaps the strength behind its many uses. Despite this unique property, anthropogenic activities along its course and natural factors often determine the composition of water. In the current research, the portion of River Nworie having past Owerri town was sampled in the dry season 2017 to determine its ionic composition at predestinated points and to relate such properties to its physicochemical characteristics. Studies relating physicochemical properties and dissolved toxic ions in water could develop a body of knowledge that could enable detection and quantification of potential risk of ions such as heavy metals from natural water to aquatic ecosystem, animal and human health without actually involving aquatic organism, animal and human. Clean sterile plastic bottles were used for collecting surface water. A total of 30 sub-samples from five points at 300 m apart were sampled in the morning. Physicochemical properties were determined using standard methods and ionic composition of water was determined according methods of APHA. Results revealed that Ca2+ had a mean 23.60 ± 0.67 mg/l and was the highest while K+ with a mean 0.72 ± 0.30 was the least amongst major cations. Amongst the major anions Cl− had mean of 31.58 ± 4.47 mg/l while mean of PO43− was 1.42 ± 0.13 mg/l. The ionic balance calculate as % balance error showed high values for all sampling sites ranging from 30 to 39.42% indicating that there is massive input from anthropogenic activities. The computed relationships for selected heavy metals, cations and anions revealed that R2 values were …"
"AW Verla, P Adowei, EN Verla",2014,Acta Chimica and Pharmaceutica Indica,4,3,119-125,"Palm oil mill effluent (POME) is the only liquid discharge from palm oil extraction processes and is considered the most harmful waste for the ecosystem if discharged untreated. Physicochemical and microbiological properties are essential characteristics to be investigated before discharging POME to the recipient environment. The physicochemical properties and microbial composition of fresh and stale samples of palm oil milling effluents (POME) randomly collected at source and from a dump site in Nguru palm oil mill were evaluated using standard methods. Physicochemical characteristics for POME in the study area show gross disparity and far higher than the guidline values for vegetable oil processing industries. Heavy metal concentration in mg/L were (Cd: 0.04-0.06, Fe: 2.85-5.61, Cu: 1.21-1.45, Cr: 1.43-1.77, Ni: 0.68-0.88) and (Cd: 0.02-0.18, Fe: 4.84-6.05, Cu: 1.41-1.41, Cr: 1.28-1.56, Ni: 0.64-0.75) for fresh and stale effluents, respectively. Microbial analysis results indicate that POME contained a variety of microorganisms which include Aspergillus niger, Aspergillus herbarious,"
"Verla Andrew Wirnkor, Enyoh Christian Ebere, Verla Evelyn Ngozi",2019/9/23,Analytical Methods in Environmental Chemistry Journal,2,03,89-96,"The microplastics in the environment is a novel problem to scientists, public media, governmental and non-governmental organizations. The major problem is from the difficultness of removing them from the ecosystem. Elsewhere studies are being conducted while in Nigeria studies are relatively lacking. Production (10.3 %) and consumption (6.5 %) of plastics are on the increase annually, thereby, causing an increase in the amount of plastic waste generated annually. Finally, from such studies, data generated will provide insight and understanding into the extent of microplastic pollution in Nigeria. Furthermore, the data will be important not only for both remediation and minimization of effects but could be employed in averting occurrence through policies such as ban on some types of plastic uses in Nigeria. In this study, four manually generally microplastic types (PVC, acrylics, polyesters, silicones) were evaluated for heavy metals (Pb, Cd, Hg, and As) adsorption at optimized pH by ETAAS."
